SelectKBest + Knearest,CrossValidation Mean,Validation Accuracy,need to redo left with new alpha vals,Improving the preprocessing,,SelectKBest + Knearest,CrossValidation Mean,Validation Accuracy
500,0.587647059,0.633333333,,,,500,0.590588235,0.646666667
1000,0.598823529,0.64,,,,1000,0.605294118,0.623333333
1500,0.6,0.61,,,,1500,0.604117647,0.633333333
2000,0.602941176,0.64,,,,2000,0.610588235,0.633333333
2500,0.605882353,0.62,,,,2500,0.624705882,0.623333333
3000,0.605882353,0.606666667,,,,3000,0.625882353,0.643333333
,,,0.588235294,0.63,,,,
SelectFpr + Knearest,,,0.590588235,0.64,,SelectFpr + Knearest,,
0.001,0.591764706,0.63,0.591764706,0.63,,0.001,0.599411765,0.623333333
0.005,0.595882353,0.623333333,0.595882353,0.623333333,,0.005,0.6,0.636666667
0.01,0.602352941,0.633333333,0.602352941,0.633333333,,0.01,0.603529412,0.616666667
0.05,0.590588235,0.63,0.590588235,0.63,,0.05,0.614705882,0.636666667
0.1,0.59,0.626666667,,,,0.1,0.617647059,0.65
0.5,0.616470588,0.646666667,,,,0.5,0.632352941,0.673333333
,,,,,,,,
,,,,,,,,
SelectKBest + MultiNB,,,,,,SelectKBest + MultiNB,,
500,0.806470588,0.826666667,,,,500,0.812941176,0.833333333
1000,0.812352941,0.826666667,,,,1000,0.826470588,0.836666667
1500,0.815882353,0.82,,,,1500,0.827647059,0.86
2000,0.814117647,0.833333333,,,,2000,0.831764706,0.85
2500,0.815294118,0.836666667,,,,2500,0.83,0.853333333
3000,0.815294118,0.846666667,,,,3000,0.827058824,0.85
,,,0.796470588,0.823333333,,,,
SelectFpr + MultiNB,,,0.802352941,0.806666667,,SelectFpr + MultiNB,,
0.001,0.813529412,0.82,0.813529412,0.82,,0.001,0.815294118,0.836666667
0.005,0.815294118,0.83,0.815294118,0.83,,0.005,0.828823529,0.86
0.01,0.814705882,0.826666667,0.814705882,0.826666667,,0.01,0.830588235,0.85
0.05,0.815294118,0.84,0.815294118,0.84,,0.05,0.827647059,0.85
0.1,0.814117647,0.83,,,,0.1,0.831764706,0.856666667
0.5,0.807058824,0.836666667,,,,0.5,0.82,0.856666667
,,,,,,,,
,,,,,,,,
SelectKBest + MLP,,,,,,SelectKBest + MLP,,
500,0.827058824,0.83,,,,500,0.834705882,0.856666667
1000,0.845294118,0.863333333,,,,1000,0.86,0.873333333
1500,0.855882353,0.86,,,,1500,0.86,0.873333333
2000,0.852352941,0.873333333,,,,2000,0.86,0.86
2500,0.85,0.87,,,,2500,0.867647059,0.883333333
3000,0.853529412,0.873333333,,,,3000,0.871176471,0.9
,,,0.813529412,0.853333333,,,,
SelectFpr + MLP,,,0.828823529,0.84,,SelectFpr + MLP,,
0.001,0.852941176,0.85,0.845882353,0.853333333,,0.001,0.832941176,0.88
0.005,0.841176471,0.853333333,0.840588235,0.86,,0.005,0.858235294,0.876666667
0.01,0.855294118,0.876666667,0.850588235,0.866666667,,0.01,0.854117647,0.893333333
0.05,0.85,0.856666667,0.847058824,0.873333333,,0.05,0.856470588,0.88
0.1,0.863529412,0.88,,,,0.1,0.87,0.896666667
0.5,0.844705882,0.88,,,,0.5,0.863529412,0.923333333
